Permit Number,Permit Year,Project ID,Site,Trip Code,Turtle ID,Capture Number,Date,Year,Month,Season,Transect ID,Location,Time,Method,GPS_Y,GPS_X,Tags,Days At Large,Tag Scars,Tag Scar Location,Tags Fouled,Tags Fouled Comment,Flipper Tag 1,Flipper Tag 2,PIT Tag,Species,Head Width cm,SCL Min cm,SCL Standard cm,SCWidth cm,CCL Min cm,CCL Standard cm,CCWidth cm,Plastron cm,Tail to Tip cm,Tail to Vent cm,Weight kg,Sex,Body Condition,Flipper Damage,Flipper Damage Comment,Carapace Damage,Carapace Damage Comment,Mouth Check,Mouth Check Comment,Leeches,Leeches Comment,Coccoons,Coccoons Comment,Barnacles Scutes,Barnacles Scales,Fibropapilloma Visible,FP Tumor Score,FP Balazs Score,Photos,Notes,Taken to Rehab,Final Disposition
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 1,"Crystal River, FL, USA",CR201810,168,C49,10/5/18,2018,10,3 - Fall,,NA,13:15,Rodeo,28.81432,-82.75443,New Recruit,NA,No,NA,NA,NA,MML182,MML181,982.000410609936,Cm,5.8,38.4,38.8,28.7,41.9,42.5,33.3,31.2,7.1,4.6,7.2,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,Few,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 1,"Crystal River, FL, USA",CR201810,169,C50,10/5/18,2018,10,3 - Fall,,NA,16:14,Rodeo,28.80363,-82.76662,New Recruit,NA,No,NA,NA,NA,MML184,MML186,982.000410609310,Cm,7.3,55.5,56.6,43.4,61.1,62.1,55.4,46.7,10.1,6.5,20.5,NA,Robust,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,Yes,6,1,Yes,2 weird healed lesions on neck and shoulder. Excessive fecal deposit,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 1,"Crystal River, FL, USA",CR201810,174,C55,10/7/18,2018,10,3 - Fall,,NA,12:21,Rodeo,28.79055,-82.73775,New Recruit,NA,No,NA,NA,NA,MML196,MML195,982.000410600839,Cm,5.1,34.3,34.4,28.7,37.0,37.5,32.8,29.2,5.5,3.9,5.8,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,Yes,34,2,Yes,,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 1,"Crystal River, FL, USA",CR201810,175,C56,10/7/18,2018,10,3 - Fall,,NA,12:28,Rodeo,28.79062,-82.73828,New Recruit,NA,No,NA,NA,NA,MML198,MML197,982.000410634212,Cm,5.2,32.6,34.5,27.2,35.2,36.2,30.7,27,5,3.4,4.7,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,Yes,39,1,Yes,,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 1,"Crystal River, FL, USA",CR201811,176,C57,11/30/18,2018,11,3 - Fall,,NA,13:58,Rodeo,28.79337,-82.80634,New Recruit,NA,No,NA,NA,NA,Too Small,Too small,982.000410610136,Cm,4.7,28.7,29.1,22.5,30.3,30.6,26.5,23.5,6,4.5,3.1,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,Few,Few,No,NA,NA,Yes,,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 1,"Crystal River, FL, USA",CR201811,177,C58,11/30/18,2018,11,3 - Fall,,NA,14:13,Rodeo,28.79275,-82.80886,New Recruit,NA,No,NA,NA,NA,MML199,MML200,982.000410609908,Cm,6.2,40.2,41.2,32.5,43.8,44.5,37.6,34.3,8.1,5.5,9.3,NA,Good,Yes,RFF little piece gone,No,NA,Yes,Clean,No,NA,No,NA,Few,None,Yes,2,1,Yes,,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 1,"Crystal River, FL, USA",CR201902,180,C180,2/17/19,2019,2,4 - Winter,,NA,16:03,Rodeo,28.84249,-82.76123,New Recruit,NA,No,NA,NA,NA,KKF 130 ,KKF 131,982.000410609866,Cm,5.7,38.6,40.5,29.6,41.5,41.9,34.7,32.3,6.1,4.5,9.3,NA,Good,Yes,Both RRF LRF damaged (potential bites/prop damage),No,NA,Yes,Clean,No,NA,No,NA,Few,Few,Yes,23,2,Yes,Evidence of recent feeding: Seagrass in mouth,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 1,"Crystal River, FL, USA",CR201905,184,C419,5/12/19,2019,5,1 - Spring,,NA,11:35,Dip Net,28.79549,-82.74815,New Recruit,NA,No,NA,NA,NA,KKF138,KKF139,982.000419720111,Cm,6,33.5,34.5,26,35.0,35.8,31,28,6.5,4.5,5.2,NA,Robust,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,No,NA,NA,Yes,Algae in mouth; Tail did not extend past carapace so tail-ventral photo taken,No,Released
MTP-243-19,FWC_2019,"Chasing Life on Loggerheads: an integrated epibiosis study to assess foraging behavior, reproductive success and habitats of Northern Gulf of Mexico loggerheads nesting at St. George Island","St George Island, FL, USA",Stg2019,462 STG 2019,NA,6/17/19,2019,6,2 - Summer,NA,NA,2:04,Encountered Terrestrial,29.63134,-84.92385,Recapture,NA,Yes,LRF,NA,NA,NA,NA,982.000364357473,Cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Possible tag scar LRF, Abandoned body pit soon after approach and moved further inland to nest ",No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201908,200,C460,8/19/19,2019,8,2 - Summer,,NA,14:30,Dip Net,28.76980,-82.76198,New Recruit,NA,No,NA,NA,NA,KKF159,KKF160,982.000410599056,Cm,4.9,30.9,31.5,28.6,33.0,33.5,27.6,26.1,NA,NA,NA,NA,Robust,No,NA,No,NA,Yes,Clean,No,NA,Yes,Plastron,None,None,Yes,22,8,Yes,Too much FP for tail measurement; Tail did not extend past carapace so tail-ventral photo taken,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201908,201,C494,8/20/19,2019,8,2 - Summer,,NA,12:52,Dip Net,28.76158,-82.76263,New Recruit,NA,No,NA,NA,NA,KKF161,KKF162,982.000410605087,Cm,4.5,30.3,30.9,23.3,32.2,32.9,26.2,25.5,6,3.9,3.2,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,No,NA,NA,Yes,Tail did not extend past carapace so tail-ventral photo taken,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201908,202,C505,8/20/19,2019,8,2 - Summer,,NA,15:00,Dip Net,28.78035,-82.76257,New Recruit,NA,No,NA,NA,NA,TOO SMALL,TOO SMALL,982.000410609615,Cm,5.7,34.3,34.9,28.3,36.7,37.1,33,28.1,6.9,4.4,6.2,NA,Robust,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,No,NA,NA,Yes,Tail did not extend past carapace so tail-ventral photo taken,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201908,203,C559,8/22/19,2019,8,2 - Summer,,NA,10:09,Rodeo,28.80854,-82.76939,New Recruit,NA,No,NA,NA,NA,KKF164,KKF166,982.000410609543,Cm,7.3,49.5,50.3,38.3,52.0,53.0,44,40.6,9.5,7,17,NA,Robust,No,NA,No,NA,Yes,Clean,No,NA,No,NA,Few,None,No,NA,NA,Yes,Pit tag on right front flipper; Bad tags KKF163 and KKF165; Tail did not extend past carapace so tail-ventral photo taken,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201908,204,C568,8/22/19,2019,8,2 - Summer,,NA,11:12,Dip Net,28.79576,-82.76970,New Recruit,NA,No,NA,NA,NA,KKF167,KKF168,982.000410278952,Cm,5.7,40,40.7,30.6,42.0,42.7,35,32.5,6.2,5.6,6.8,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,Partial,None,Yes,25,7,Yes,Tail did not extend past carapace so tail-ventral photo taken,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201908,205,C574,8/22/19,2019,8,2 - Summer,,NA,12:01,Dip Net,28.78456,-82.77826,New Recruit,NA,No,NA,NA,NA,TOO SMALL,TOO SMALL,TOO SMALL,Cm,5.2,29.1,29.5,23.8,30.6,30.9,26.1,23.9,3.5,2.7,3.5,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,No,NA,NA,Yes,Too small to tag; ID WP 574; Tail did not extend past carapace so tail-ventral photo taken,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201908,206,C581,8/22/19,2019,8,2 - Summer,,NA,12:28,Dip Net,28.78314,-82.77812,New Recruit,NA,No,NA,NA,NA,TOO SMALL,TOO SMALL,TOO SMALL,Cm,4.6,27.8,29.2,22.3,29.4,30.7,27,22.8,3.2,4.5,2.4,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,No,NA,NA,Yes,ID WP 581; Tail did not extend past carapace so tail-ventral photo taken,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201908,207,C580,8/22/19,2019,8,2 - Summer,,NA,12:28,Dip Net,28.78344,-82.77832,New Recruit,NA,No,NA,NA,NA,KKF169,KKF170,982.000408448420,Cm,6.2,43.3,44.4,33.6,46.7,47.0,40.3,36,8.7,5,10.8,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,Few,None,Yes,23,7,Yes,Tail did not extend past carapace so tail-ventral photo taken,No,Released
NMFS 19496,NMFS_2018-2019,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201908,209,C589,8/22/19,2019,8,2 - Summer,,NA,14:32,Dip Net,28.71706,-82.76749,New Recruit,NA,No,NA,NA,NA,NA,NA,NA,Cm,6.7,44.3,44.4,34.2,46.8,47.2,39.7,37.7,NA,NA,8.4,Female,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,Few,None,Yes,11,5,Yes,"FP tumors blocked tail measurements. Turtle spotted at surface, unable to dive/maintain depth. Captured and transported to Homasassa for transfer to Clearwater Marine Aquarium. Tail did not extend past carapace so tail-ventral photo taken. Sex determined at necropsy.",Yes,Necropsied
NMFS 19496,NMFS_2019-2020,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201910,220,C655,10/11/19,2019,10,3 - Fall,,NA,11:22,Dip Net,28.80301,-82.77376,New Recruit,NA,No,NA,NA,NA,NA,NA,982.000410276904,Cm,5.6,37,37.5,29.8,39.5,40.0,33.8,31.6,5,3.5,6.5,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,Yes,29,3,Yes,No flipper tag as turtle had too many FP tumors,No,Released
NMFS 19496,NMFS_2019-2020,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201910,221,C658,10/11/19,2019,10,3 - Fall,,NA,12:13,Dip Net,28.81701,-82.76182,New Recruit,NA,No,NA,NA,NA,NA,NA,NA,Cm,6.5,40.1,40.3,31.5,42.4,43.1,35.5,NA,NA,NA,8.42,Female,Good,No,NA,Yes,10cm gash along central posterior carapace. Possible recent boat strike,No,NA,NA,Didn't check,NA,Didn't check,None,None,Yes,NA,NA,No,Turtle transferred to Clearwater Marine Aquarium for evaluation due to carapace injury and significant FP tumors. Euthanized by veterinary staff after MRI revealed large internal FP tumors. Skin and scute samples taken by CMA and shipped to FSU. FP Tumor score and plastron measurements not taken due to carapace injury. Sex determined at necropsy.,Yes,Necropsied
NMFS 19496,NMFS_2019-2020,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201911,222,C626,11/22/19,2019,11,3 - Fall,CR111904,NA,12:34,Rodeo,28.77325,-82.78395,New Recruit,NA,No,NA,No,NA,KKF197,KKF200,982.000410281570,Cm,5.8,36.4,37.2,28.4,38.4,39.3,33.6,30.2,6,4.5,4.9,NA,Good,Yes,Abnormal RRF,No,NA,Yes,Clean,No,NA,No,NA,Few,None,Yes,2,1,Yes,"Bad Tag KKF199, small scar RFF, RRF abnormal growth. Tail did not extend past carapace so ventral photo taken.",No,Released
NMFS 19496,NMFS_2019-2020,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201911,223,C631,11/22/19,2019,11,3 - Fall,CR111904,NA,13:21,Rodeo,28.77246,-82.78894,New Recruit,NA,No,NA,No,NA,NA,NA,982.000410282706,Cm,5.7,34.3,34.7,26.6,36.5,37.0,30,28.9,5,2.3,6,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,No,NA,NA,Yes,"PIT tag, no metal tag too small, tail did not extend past carapace so ventral photo taken",No,Released
NMFS 19496,NMFS_2019-2020,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR201911,225,C706,11/25/19,2019,11,3 - Fall,CR111918,NA,10:25,Rodeo,28.75759,-82.74467,New Recruit,NA,No,NA,No,NA,NA,NA,982.000410277403,Cm,5.2,30,30.5,23.7,31.2,31.8,27.5,25.2,5.6,4.5,4.5,NA,Good,No,NA,Yes,Right supracaudal notched,Yes,Clean,No,NA,No,NA,None,None,Yes,15,1,Yes,Tail did not extend past carapace so ventral photo taken,No,Released
NMFS 19496,NMFS_2019-2020,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR202001,226,C721,1/10/20,2020,1,4 - Winter,CR012002,NA,12:00,Rodeo,28.83071,-82.78534,New Recruit,NA,No,NA,No,NA,NA,NA,982.000408445993,Cm,6.7,42.5,43.2,34.4,45.0,45.3,36.3,36.3,7.9,7.5,9,NA,Good,No,NA,No,NA,Yes,Clean,Yes,Base rear flipper and tail,Yes,Base rear flipper and plastron,Few,None,Yes,33,12,Yes,Tail did not extend past carapace so ventral photo taken,No,Released
NMFS 19496,NMFS_2019-2020,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR202002,229,C941,2/24/20,2020,2,4 - Winter,CR022014,NA,12:00,Rodeo,28.73971,-82.75397,New Recruit,NA,No,NA,No,NA,NA,NA,982.000408448904,Cm,5.4,30.5,30.7,24.4,32.2,32.4,27,25.3,5,3,3.2,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,No,NA,NA,Yes,"Tail did not extend past carapace so ventral photo taken, Possible biopsy scar on left shoulder but not PIT tag found, too small to flipper tag",No,Released
NMFS 19496,NMFS_2019-2020,Integrative assessment of a loggerhead foraging aggregation in Crystal River - Year 2,"Crystal River, FL, USA",CR202002,230,C944,2/24/20,2020,2,4 - Winter,CR022015,NA,13:07,Rodeo,28.75705,-82.76868,New Recruit,NA,No,NA,No,NA,NA,NA,982.000410284713,Cm,5.1,32.4,33.7,24.6,34.4,35.0,29,27.8,5.8,4,4.2,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,Yes,Few along left rear plastron,None,None,No ,NA,NA,Yes,"Tail did not extend past carapace so ventral photo taken, too small to flipper tag",No,Released
NMFS 19496,NMFS_2020-2021,Population structure and foraging ecology of loggerhead turtles in Crystal River,"Crystal River, FL, USA",CR202106,258,C1173,6/6/21,2021,6,2 - Summer,CR062114,NA,14:10,Rodeo,28.81532,-82.75599,New Recruit,NA,No,NA,No,NA,KKF263,KKF266,982.000407595577,Cm,7.9,45.7,46.5,35.8,48.6,49.3,41.7,38,6.6,9.7,NA,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,Few,None,Yes,7,2,Yes,Tail did not extend past carapace so ventral photo taken,No,Released
NMFS 19496,NMFS_2020-2021,Population structure and foraging ecology of loggerhead turtles in Crystal River,"Crystal River, FL, USA",CR202106,259,C1178,6/6/21,2021,6,2 - Summer,CR062115,NA,15:48,Rodeo,28.84415,-82.7479,New Recruit,NA,No,NA,No,NA,NA,NA,NA,Cm,6.1,44.1,44.7,34.2,48.6,49.8,43.4,NA,NA,NA,11.5,NA,Good,Yes,Hook in LFF,No,NA,Yes,Swallowed fishing line,No,NA,No,NA,Few,None,Yes,NA,NA,Yes,"Hook in LFF and ventral shoulder, also appears to have swallowed fishing line, transferred to CMA rescue team, sampling limitted due to rescue restrictions.",Yes,Necropsied
NMFS 19496,NMFS_2020-2021,Population structure and foraging ecology of loggerhead turtles in Crystal River,"Crystal River, FL, USA",CR202106,260,C1191,6/7/21,2021,6,2 - Summer,CR062117,NA,12:01,Dip Net,28.79845,-82.732222,New Recruit,NA,No,NA,No,NA,NA,NA,NA,Cm,4.2,26.2,26.8,20.8,28.9,29.5,25.6,22.9,6.5,5,NA,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,No,NA,None,None,Yes,43,8,Yes,"Many paps (not smooth, cauliflowery), Tail measurement over paps, Tail did not extend past carapace so ventral photo taken, Too small to tag",No,Released
MTP-239-21,FWC_2021,Investigating loggerhead sea turtle embryonic tolerance to wave exposure and groundwater inundation,"St George Island, FL, USA",Stg2021,646STG2021,NA,6/18/21,2021,6,2 - Summer,NA,NA,2:53,Encountered Terrestrial,29.63458,-84.91688,Recapture,NA,NA,NA,NA,NA,NA,NA,982.000364375473,Cm,NA,NA,NA,NA,NA,111,100,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,Released
MTP-239-21,FWC_2021,Investigating loggerhead sea turtle embryonic tolerance to wave exposure and groundwater inundation,"St George Island, FL, USA",Stg2021,646STG2021,NA,6/20/21,2021,6,2 - Summer,NA,NA,23:52,Encountered Terrestrial,29.63765,-84.91118,Recapture,NA,NA,NA,NA,NA,KKF305,KKF306,982.000364375473,Cm,NA,NA,NA,NA,110.85,111.25,100.6,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,"Bad Tag KKF303/304, Not much of a true notch was present, 2 additional body pits and egg chambers, triangular possible tag scar in LRF and RRF",No,Released
MTP-239-21,FWC_2021,Investigating loggerhead sea turtle embryonic tolerance to wave exposure and groundwater inundation,"St George Island, FL, USA",Stg2021,673STG2021,NA,6/25/21,2021,6,2 - Summer,NA,NA,22:37,Encountered Terrestrial,29.64025,-84.90714,New Recruit,NA,NA,NA,NA,NA,KKF382,KKF383,989.001000000000,Cm,NA,NA,NA,NA,113.1,113.6,102.1,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Did not have a distinct notch; Bad PIT tag 982000408448631,No,Released
MTP-239-21,FWC_2021,Investigating loggerhead sea turtle embryonic tolerance to wave exposure and groundwater inundation,"St George Island, FL, USA",Stg2021,673STG2021,NA,6/26/21,2021,6,2 - Summer,NA,NA,22:02,Encountered Terrestrial,29.62888,-84.92796,Recapture,1,NA,NA,NA,NA,KKF382,KKF383,989.001000000000,Cm,NA,NA,NA,NA,114.3,114.4,105.1,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Recapture from previous night. WP1578 GPS 1,No,Released
NMFS 19496,NMFS_2020-2021,Population structure and foraging ecology of loggerhead turtles in Crystal River,"Crystal River, FL, USA",CR202107,266,C744,7/17/21,2021,7,2 - Summer,CR072106,NA,13:26,Rodeo,28.7944,-82.77088,New Recruit,NA,No,NA,No,NA,KKF279,KKF280,982.000407595304,Cm,7.4,58.1,59.9,48.9,65.3,66.4,59.6,49,11.4,8.3,23.5,NA,Good,No,NA,No,NA,Yes,Clean,No,NA,Yes,Few on rear right flipper attachment soft tissue,None,None,No,NA,NA,Yes,Tail did not extend past carapace so ventral photo taken,No,Released